sku,sku,product-id,product-id-type,price,minimum-seller-allowed-price,maximum-seller-allowed-price,item-condition,quantity,add-delete,will-ship-internationally,expedited-shipping,standard-plus,item-note,fulfillment-center-id,product-tax-code,handling-time,business-price,quantity-price-type,quantity-lower-bound1,quantity-price1,quantity-lower-bound2,quantity-price2,quantity-lower-bound3,quantity-price3,quantity-lower-bound4,quantity-price4,quantity-lower-bound5,quantity-price5,pricing_action,merchant_shipping_group_name,batteries_required,are_batteries_included,battery_cell_composition,battery_type,number_of_batteries,battery_weight,battery_weight_unit_of_measure,number_of_lithium_ion_cells,number_of_lithium_metal_cells,lithium_battery_packaging,lithium_battery_energy_content,lithium_battery_energy_content_unit_of_measure,lithium_battery_weight,lithium_battery_weight_unit_of_measure,supplier_declared_dg_hz_regulation1,supplier_declared_dg_hz_regulation2,supplier_declared_dg_hz_regulation3,supplier_declared_dg_hz_regulation4,supplier_declared_dg_hz_regulation5,hazmat_united_nations_regulatory_id,safety_data_sheet_url,item_weight,item_weight_unit_of_measure,item_volume,item_volume_unit_of_measure,flash_point,ghs_classification_class1,ghs_classification_class2,ghs_classification_class3,california_proposition_65_compliance_type,california_proposition_65_chemical_names1,california_proposition_65_chemical_names2,california_proposition_65_chemical_names3,california_proposition_65_chemical_names4,california_proposition_65_chemical_names5
36596DB-RO,36596DB,B0153IUFB2,1,35,,,1,2,,,,,Bar Codes & More #C06,,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381648-002-RO,381648-002,B00QAO2BBQ,1,30,,,1,5,,,,,"WD800JD 80GB 3.5"" Desktop SATA 7200 RPM 8MB HDD TESTED",,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381648-002-RO2,381648-0022,B003FEBJ3K,1,30,,,1,5,,,,,"WD800JD 80GB 3.5"" Desktop SATA 7200 RPM 8MB HDD TESTED",,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409611-B21-RO,409611-B21,B01MXHUH0W,1,40,,,1,2,,,,,HP BL685CG1 08214 2P KIT Original HP,,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40X0062-RO,40X0062,B016YJVAZY,1,30,,,1,17,,,,,Lexmark T640 Printhead,,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40X0114-RO,40X0114,B001U0LT1S,1,20,,,1,6,,,,,Lexmark T64x Developer Drive ASM,,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40X0114-RO2,40X0114,B00FRLURHI,1,19,,,1,6,,,,,Lexmark T64x Developer Drive ASM,,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40X2592-RO,40X2592,B001DBJ2EK,1,69,,,1,5,,,,,Lexmark Optra T64X Refurbished- Fusing assembly,,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412324-001-RO,412324-001,B01MQFOFE7,1,50,,,1,4,,,,,"System board - For ProLiant DL580 G3 Server, 303488-001 New Spare P/N",,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303488-001-RO,303488-001,B00V3S954A,1,50,,,1,4,,,,,"System board - For ProLiant DL580 G3 Server, 303488-001 New Spare P/N",,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42W7797-RO,42W7797,B017UOZ61G,1,79,,,11,3,,,,,IBM Thinkpad X60 System Board-New Pulls,,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42W7797-RO2,42W77972,B016YK781S,1,79,,,11,3,,,,,IBM Thinkpad X60 System Board-New Pulls,,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432392-001-RO,432392-001,,1,,,,,5,,,,,"WD800JD 80GB 3.5"" Desktop SATA 7200 RPM 8MB HDD TESTED",,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436380-001-RO,436380-001,,1,,,,,4,,,,,SPS-HEAT SINK,,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43H5101-RO,43H5101,,1,,,,,0,,,,,Lexmark Optra Series 500 sheet drawer,,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43H6024-RO,43H6024,,1,,,,,5,,,,,Lexmark 4059 Optra S Engine Card,,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43W4580-RO,43W4580,,1,,,,,0,,,,,IBM Slim 3.5in 24x8x CD-RW-DVD-Rom Combo Rev.202,,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43W4581-RO,43W4581,,1,,,,,5,,,,,IBM Slim 3.5in 24x8x CD-RW-DVD-Rom Combo Rev.202,,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442011-001,442011-001,,1,,,,,1,,,,,442011-001,,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446436-001,446436-001,,1,,,,,1,,,,,446436-001,,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446871-001,446871-001,,1,,,,,0,,,,,446871-001,,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449978-001-RO,449978-001,B00QAO448O,1,30,,,1,10,,,,,"HP 80GB 7.2K 3.5"" SATA Hard Drive",,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453030300440R,453030300440R,B0045JTDLE,1,3,,,11,16,,,,,Dell 6ft 18Pin MM DVI-D Cable,,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455971-001,455971-001,,1,,,,,1,,,,,455971-001,,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462485-001-RO,462485-001,,1,,,,,1,,,,,"HP IDE DVD/CD-RW combo drive - 24X/24X/24X/8X speed, 9.5mm high",,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46M6071,46M6071,,1,,,,,1,,,,,Cisco Nexus 4001I Switch Module for Bladecenter,,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480385-001,480385-001,,1,,,,,0,,,,,480385-001,,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484053-003-RO,484053-003,,1,,,,,3,,,,,"250GB SATA/16MB Cache, fully tested and wiped",,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485218-001-RO,485218-001,,1,,,,,1,,,,,"System board (motherboard) - UMA architecture, Intel mobile GM45 chipset, with modem",,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498139-001-RO,498139-001,,1,,,,,1,,,,,"Hard Drive - 250G, 7.2K, HIT, JUPIT, SATA3.0, N",,,,,,,,,,,,,,,,,Default Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
